2018-03-17 02:39:37,868 - Model_1 - INFO - start training model...
2018-03-17 02:41:56,902 - Model_1 - INFO - batch_round: 235, cost in this train batch=5.703741550445557
2018-03-17 02:41:57,443 - Model_1 - INFO - batch_round: 236, cost in this train batch=5.703339099884033
2018-03-17 02:41:57,982 - Model_1 - INFO - batch_round: 237, cost in this train batch=5.7039079666137695
2018-03-17 02:41:58,524 - Model_1 - INFO - batch_round: 238, cost in this train batch=5.70395565032959
2018-03-17 02:41:59,068 - Model_1 - INFO - batch_round: 239, cost in this train batch=5.7034993171691895
2018-03-17 02:41:59,611 - Model_1 - INFO - batch_round: 240, cost in this train batch=5.703388690948486
2018-03-17 02:42:00,152 - Model_1 - INFO - batch_round: 241, cost in this train batch=5.703988075256348
2018-03-17 02:42:00,685 - Model_1 - INFO - batch_round: 242, cost in this train batch=5.703782081604004
2018-03-17 02:42:01,226 - Model_1 - INFO - batch_round: 243, cost in this train batch=5.704199314117432
2018-03-17 02:42:01,768 - Model_1 - INFO - batch_round: 244, cost in this train batch=5.704090595245361
2018-03-17 02:42:02,333 - Model_1 - INFO - batch_round: 245, cost in this train batch=5.703813552856445
2018-03-17 02:42:02,910 - Model_1 - INFO - batch_round: 246, cost in this train batch=5.7038984298706055
2018-03-17 02:42:03,481 - Model_1 - INFO - batch_round: 247, cost in this train batch=5.703835964202881
2018-03-17 02:42:04,057 - Model_1 - INFO - batch_round: 248, cost in this train batch=5.704075813293457
2018-03-17 02:42:04,618 - Model_1 - INFO - batch_round: 249, cost in this train batch=5.7040300369262695
2018-03-17 02:42:05,174 - Model_1 - INFO - batch_round: 250, cost in this train batch=5.703957557678223
2018-03-17 02:42:05,731 - Model_1 - INFO - batch_round: 251, cost in this train batch=5.703507900238037
2018-03-17 02:42:06,301 - Model_1 - INFO - batch_round: 252, cost in this train batch=5.703214168548584
2018-03-17 02:42:06,856 - Model_1 - INFO - batch_round: 253, cost in this train batch=5.703765392303467
2018-03-17 02:42:07,414 - Model_1 - INFO - batch_round: 254, cost in this train batch=5.703638076782227
2018-03-17 02:42:07,974 - Model_1 - INFO - batch_round: 255, cost in this train batch=5.703775405883789
2018-03-17 02:42:08,569 - Model_1 - INFO - batch_round: 256, cost in this train batch=5.704278469085693
2018-03-17 02:42:09,151 - Model_1 - INFO - batch_round: 257, cost in this train batch=5.70354700088501
2018-03-17 02:42:09,735 - Model_1 - INFO - batch_round: 258, cost in this train batch=5.704251289367676
2018-03-17 02:42:10,309 - Model_1 - INFO - batch_round: 259, cost in this train batch=5.703805446624756
2018-03-17 02:42:10,884 - Model_1 - INFO - batch_round: 260, cost in this train batch=5.703549385070801
2018-03-17 02:42:11,485 - Model_1 - INFO - batch_round: 261, cost in this train batch=5.704105377197266
2018-03-17 02:42:12,041 - Model_1 - INFO - batch_round: 262, cost in this train batch=5.7035932540893555
2018-03-17 02:42:12,593 - Model_1 - INFO - batch_round: 263, cost in this train batch=5.7043609619140625
2018-03-17 02:42:13,147 - Model_1 - INFO - batch_round: 264, cost in this train batch=5.703668594360352
2018-03-17 02:42:13,747 - Model_1 - INFO - batch_round: 265, cost in this train batch=5.704253196716309
2018-03-17 02:42:14,311 - Model_1 - INFO - batch_round: 266, cost in this train batch=5.7037272453308105
2018-03-17 02:42:14,905 - Model_1 - INFO - batch_round: 267, cost in this train batch=5.7038350105285645
2018-03-17 02:42:15,496 - Model_1 - INFO - batch_round: 268, cost in this train batch=5.703986167907715
2018-03-17 02:42:16,065 - Model_1 - INFO - batch_round: 269, cost in this train batch=5.703482627868652
2018-03-17 02:42:16,614 - Model_1 - INFO - batch_round: 270, cost in this train batch=5.7038655281066895
2018-03-17 02:42:17,163 - Model_1 - INFO - batch_round: 271, cost in this train batch=5.704345226287842
2018-03-17 02:42:17,739 - Model_1 - INFO - batch_round: 272, cost in this train batch=5.703906059265137
2018-03-17 02:42:18,299 - Model_1 - INFO - batch_round: 273, cost in this train batch=5.703669548034668
2018-03-17 02:42:18,853 - Model_1 - INFO - batch_round: 274, cost in this train batch=5.703850269317627
